HGNC_id	gene_short	pathway_id	pathway_name
HGNC=6711	ENSG00000231314	P00006	Apoptosis signaling pathway      
HGNC=6711	ENSG00000236237	P00006	Apoptosis signaling pathway      
HGNC=6711	ENSG00000236925	P00006	Apoptosis signaling pathway      
HGNC=6711	ENSG00000238114	P00006	Apoptosis signaling pathway      
HGNC=6772	ENSG00000137834	P00052	TGF-beta signaling pathway      
HGNC=6853	ENSG00000006062	P00006	Apoptosis signaling pathway      
HGNC=6853	ENSG00000006062	P00018	EGF receptor signaling pathway     
HGNC=6853	ENSG00000006062	P06664	Gonadotropin releasing hormone receptor pathway    
HGNC=6853	ENSG00000006062	P06959	CCKR signaling map      
HGNC=6853	ENSG00000282637	P00006	Apoptosis signaling pathway      
HGNC=6853	ENSG00000282637	P00018	EGF receptor signaling pathway     
HGNC=6853	ENSG00000282637	P06664	Gonadotropin releasing hormone receptor pathway    
HGNC=6853	ENSG00000282637	P06959	CCKR signaling map      
HGNC=6855	ENSG00000198909	P00010	B cell activation      
HGNC=6855	ENSG00000198909	P00018	EGF receptor signaling pathway     
HGNC=6855	ENSG00000198909	P00021	FGF signaling pathway      
HGNC=6855	ENSG00000198909	P00034	Integrin signalling pathway      
HGNC=6855	ENSG00000198909	P06664	Gonadotropin releasing hormone receptor pathway    
HGNC=6863	ENSG00000104814	P00006	Apoptosis signaling pathway      
HGNC=6863	ENSG00000104814	P06664	Gonadotropin releasing hormone receptor pathway    
HGNC=6863	ENSG00000282928	P00006	Apoptosis signaling pathway      
HGNC=6863	ENSG00000282928	P06664	Gonadotropin releasing hormone receptor pathway    
HGNC=6974	ENSG00000198625	P00033	Insulin/IGF pathway-protein kinase B signaling cascade   
HGNC=6974	ENSG00000198625	P00059	p53 pathway       
HGNC=6974	ENSG00000198625	P04392	P53 pathway feedback loops 1    
HGNC=6974	ENSG00000198625	P04398	p53 pathway feedback loops 2    
HGNC=711	ENSG00000137486	P00026	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha 
HGNC=711	ENSG00000137486	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=711	ENSG00000137486	P00057	Wnt signaling pathway      
HGNC=711	ENSG00000137486	P05911	Angiotensin II-stimulated signaling through G proteins and beta-arrestin 
HGNC=712	ENSG00000141480	P00026	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha 
HGNC=712	ENSG00000141480	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=712	ENSG00000141480	P00057	Wnt signaling pathway      
HGNC=712	ENSG00000141480	P05911	Angiotensin II-stimulated signaling through G proteins and beta-arrestin 
HGNC=712	ENSG00000141480	P06959	CCKR signaling map      
HGNC=7170	ENSG00000215914	P00004	Alzheimer disease-presenilin pathway      
HGNC=7529	ENSG00000167508	P00014	Cholesterol biosynthesis       
HGNC=753	ENSG00000070669	P02730	Asparagine and aspartate biosynthesis     
HGNC=7594	ENSG00000091536	P00044	Nicotinic acetylcholine receptor signaling pathway    
HGNC=7596	ENSG00000128641	P00044	Nicotinic acetylcholine receptor signaling pathway    
HGNC=7598	ENSG00000176658	P00044	Nicotinic acetylcholine receptor signaling pathway    
HGNC=7600	ENSG00000142347	P00044	Nicotinic acetylcholine receptor signaling pathway    
HGNC=7602	ENSG00000197535	P00044	Nicotinic acetylcholine receptor signaling pathway    
HGNC=7607	ENSG00000169994	P00044	Nicotinic acetylcholine receptor signaling pathway    
HGNC=7609	ENSG00000099331	P00044	Nicotinic acetylcholine receptor signaling pathway    
HGNC=7761	ENSG00000107954	P00045	Notch signaling pathway      
HGNC=7765	ENSG00000196712	P00018	EGF receptor signaling pathway     
HGNC=7776	ENSG00000101096	P00009	Axon guidance mediated by netrin    
HGNC=7776	ENSG00000101096	P00010	B cell activation      
HGNC=7776	ENSG00000101096	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=7776	ENSG00000101096	P00053	T cell activation      
HGNC=7776	ENSG00000101096	P00057	Wnt signaling pathway      
HGNC=7776	ENSG00000101096	P06664	Gonadotropin releasing hormone receptor pathway    
HGNC=7776	ENSG00000101096	P06959	CCKR signaling map      
HGNC=7873	ENSG00000007171	P00048	PI3 kinase pathway      
HGNC=8004	ENSG00000099250	P00007	Axon guidance mediated by semaphorins    
HGNC=8060	ENSG00000133961	P00045	Notch signaling pathway      
HGNC=8155	ENSG00000125510	P00026	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha 
HGNC=8155	ENSG00000125510	P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha 
HGNC=8155	ENSG00000277044	P00026	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha 
HGNC=8155	ENSG00000277044	P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha 
HGNC=8570	ENSG00000124507	P00029	Huntington disease       
HGNC=8657	ENSG00000113555	P00012	Cadherin signaling pathway      
HGNC=8657	ENSG00000113555	P00057	Wnt signaling pathway      
HGNC=8669	ENSG00000255408	P00012	Cadherin signaling pathway      
HGNC=8669	ENSG00000255408	P00057	Wnt signaling pathway      
HGNC=8670	ENSG00000204967	P00012	Cadherin signaling pathway      
HGNC=8670	ENSG00000204967	P00057	Wnt signaling pathway      
HGNC=8671	ENSG00000204965	P00012	Cadherin signaling pathway      
HGNC=8671	ENSG00000204965	P00057	Wnt signaling pathway      
HGNC=8673	ENSG00000204963	P00012	Cadherin signaling pathway      
HGNC=8673	ENSG00000204963	P00057	Wnt signaling pathway      
HGNC=8684	ENSG00000187372	P00012	Cadherin signaling pathway      
HGNC=8684	ENSG00000187372	P00057	Wnt signaling pathway      
HGNC=8685	ENSG00000120327	P00012	Cadherin signaling pathway      
HGNC=8685	ENSG00000120327	P00057	Wnt signaling pathway      
HGNC=8692	ENSG00000113212	P00012	Cadherin signaling pathway      
HGNC=8692	ENSG00000113212	P00057	Wnt signaling pathway      
HGNC=8697	ENSG00000253846	P00012	Cadherin signaling pathway      
HGNC=8697	ENSG00000253846	P00057	Wnt signaling pathway      
HGNC=8706	ENSG00000253767	P00012	Cadherin signaling pathway      
HGNC=8706	ENSG00000253767	P00057	Wnt signaling pathway      
HGNC=8789	ENSG00000185527	P00028	Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction  
HGNC=8876	ENSG00000141959	P00024	Glycolysis        
HGNC=8977	ENSG00000171608	P00005	Angiogenesis        
HGNC=8977	ENSG00000171608	P00006	Apoptosis signaling pathway      
HGNC=8977	ENSG00000171608	P00009	Axon guidance mediated by netrin    
HGNC=8977	ENSG00000171608	P00010	B cell activation      
HGNC=8977	ENSG00000171608	P00018	EGF receptor signaling pathway     
HGNC=8977	ENSG00000171608	P00019	Endothelin signaling pathway      
HGNC=8977	ENSG00000171608	P00021	FGF signaling pathway      
HGNC=8977	ENSG00000171608	P00030	Hypoxia response via HIF activation    
HGNC=8977	ENSG00000171608	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=8977	ENSG00000171608	P00033	Insulin/IGF pathway-protein kinase B signaling cascade   
HGNC=8977	ENSG00000171608	P00034	Integrin signalling pathway      
HGNC=8977	ENSG00000171608	P00047	PDGF signaling pathway      
HGNC=8977	ENSG00000171608	P00053	T cell activation      
HGNC=8977	ENSG00000171608	P00056	VEGF signaling pathway      
HGNC=8977	ENSG00000171608	P00059	p53 pathway       
HGNC=8977	ENSG00000171608	P04393	Ras Pathway       
HGNC=8977	ENSG00000171608	P04398	p53 pathway feedback loops 2    
HGNC=9037	ENSG00000105499	P00005	Angiogenesis        
HGNC=9037	ENSG00000105499	P06664	Gonadotropin releasing hormone receptor pathway    
HGNC=9059	ENSG00000101333	P00002	Alpha adrenergic receptor signaling pathway    
HGNC=9059	ENSG00000101333	P00019	Endothelin signaling pathway      
HGNC=9059	ENSG00000101333	P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha 
HGNC=9059	ENSG00000101333	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=9059	ENSG00000101333	P00041	Metabotropic glutamate receptor group I pathway   
HGNC=9059	ENSG00000101333	P00042	Muscarinic acetylcholine receptor 1 and 3 signaling pathway 
HGNC=9059	ENSG00000101333	P00057	Wnt signaling pathway      
HGNC=9059	ENSG00000101333	P04374	5HT2 type receptor mediated signaling pathway   
HGNC=9059	ENSG00000101333	P04385	Histamine H1 receptor mediated signaling pathway   
HGNC=9059	ENSG00000101333	P04391	Oxytocin receptor mediated signaling pathway    
HGNC=9059	ENSG00000101333	P04394	Thyrotropin-releasing hormone receptor signaling pathway    
HGNC=9165	ENSG00000108387	P00049	Parkinson disease       
HGNC=9316	ENSG00000120910	P00010	B cell activation      
HGNC=9316	ENSG00000120910	P00053	T cell activation      
HGNC=9316	ENSG00000120910	P00057	Wnt signaling pathway      
HGNC=9399	ENSG00000163932	P00002	Alpha adrenergic receptor signaling pathway    
HGNC=9399	ENSG00000163932	P00003	Alzheimer disease-amyloid secretase pathway     
HGNC=9399	ENSG00000163932	P00005	Angiogenesis        
HGNC=9399	ENSG00000163932	P00006	Apoptosis signaling pathway      
HGNC=9399	ENSG00000163932	P00010	B cell activation      
HGNC=9399	ENSG00000163932	P00018	EGF receptor signaling pathway     
HGNC=9399	ENSG00000163932	P00019	Endothelin signaling pathway      
HGNC=9399	ENSG00000163932	P00021	FGF signaling pathway      
HGNC=9399	ENSG00000163932	P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha 
HGNC=9399	ENSG00000163932	P00042	Muscarinic acetylcholine receptor 1 and 3 signaling pathway 
HGNC=9399	ENSG00000163932	P00056	VEGF signaling pathway      
HGNC=9399	ENSG00000163932	P00057	Wnt signaling pathway      
HGNC=9399	ENSG00000163932	P04374	5HT2 type receptor mediated signaling pathway   
HGNC=9399	ENSG00000163932	P04385	Histamine H1 receptor mediated signaling pathway   
HGNC=9399	ENSG00000163932	P04391	Oxytocin receptor mediated signaling pathway    
HGNC=9399	ENSG00000163932	P04394	Thyrotropin-releasing hormone receptor signaling pathway    
HGNC=9399	ENSG00000163932	P06664	Gonadotropin releasing hormone receptor pathway    
HGNC=9399	ENSG00000163932	P06959	CCKR signaling map      
HGNC=943	ENSG00000181790	P00059	p53 pathway       
HGNC=9536	ENSG00000101182	P00049	Parkinson disease       
HGNC=9612	ENSG00000120899	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=9612	ENSG00000120899	P00034	Integrin signalling pathway      
HGNC=9612	ENSG00000120899	P06664	Gonadotropin releasing hormone receptor pathway    
HGNC=9612	ENSG00000120899	P06959	CCKR signaling map      
HGNC=9658	ENSG00000111679	P00005	Angiogenesis        
HGNC=9658	ENSG00000111679	P00010	B cell activation      
HGNC=9658	ENSG00000111679	P00021	FGF signaling pathway      
HGNC=9658	ENSG00000111679	P00035	Interferon-gamma signaling pathway      
HGNC=9666	ENSG00000081237	P00010	B cell activation      
HGNC=9666	ENSG00000081237	P00038	JAK/STAT signaling pathway      
HGNC=9666	ENSG00000081237	P00053	T cell activation      
HGNC=9666	ENSG00000262418	P00010	B cell activation      
HGNC=9666	ENSG00000262418	P00038	JAK/STAT signaling pathway      
HGNC=9666	ENSG00000262418	P00053	T cell activation      
HGNC=9802	ENSG00000128340	P00007	Axon guidance mediated by semaphorins    
HGNC=9802	ENSG00000128340	P00008	Axon guidance mediated by Slit/Robo    
HGNC=9802	ENSG00000128340	P00009	Axon guidance mediated by netrin    
HGNC=9802	ENSG00000128340	P00010	B cell activation      
HGNC=9802	ENSG00000128340	P00016	Cytoskeletal regulation by Rho GTPase    
HGNC=9802	ENSG00000128340	P00018	EGF receptor signaling pathway     
HGNC=9802	ENSG00000128340	P00021	FGF signaling pathway      
HGNC=9802	ENSG00000128340	P00029	Huntington disease       
HGNC=9802	ENSG00000128340	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=9802	ENSG00000128340	P00034	Integrin signalling pathway      
HGNC=9802	ENSG00000128340	P00053	T cell activation      
HGNC=9802	ENSG00000128340	P00056	VEGF signaling pathway      
HGNC=9802	ENSG00000128340	P04393	Ras Pathway       
HGNC=9802	ENSG00000128340	P05918	p38 MAPK pathway      
HGNC=9878	ENSG00000172575	P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha 
HGNC=990	ENSG00000171791	P00006	Apoptosis signaling pathway      
HGNC=990	ENSG00000171791	P00046	Oxidative stress response      
HGNC=990	ENSG00000171791	P06959	CCKR signaling map      
HGNC=9991	ENSG00000090104	P00026	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha 
HGNC=9991	ENSG00000090104	P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha 
HGNC=9991	ENSG00000090104	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
HGNC=9995	ENSG00000127074	P00026	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha 
HGNC=9995	ENSG00000127074	P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha 
HGNC=9995	ENSG00000127074	P00031	Inflammation mediated by chemokine and cytokine signaling pathway 
